date	1	2	3	4	5	E1	E2
2021-01-01	17	36	38	43	46	4	6	
2021-01-08	8	22	25	38	50	8	9	
2021-01-15	10	19	32	36	46	4	6	
2021-01-22	38	40	41	46	48	2	6	
2021-01-29	16	30	33	36	43	4	8	
2021-02-05	2	3	16	33	46	2	10	
2021-02-12	15	18	24	27	44	2	7	
2021-02-19	27	35	36	38	41	5	7	
2021-02-26	3	13	24	29	32	1	7	
2021-03-05	9	23	34	40	42	1	4	
2021-03-12	6	11	18	26	34	5	8	
2021-03-19	3	11	19	34	37	8	9	
2021-03-26	7	38	41	44	50	1	8	
2021-04-02	1	3	4	36	43	2	3	
2021-04-09	11	18	23	29	32	3	7	
2021-04-16	12	19	20	28	31	6	9	
2021-04-23	3	6	11	14	49	1	5	
2021-04-30	23	27	34	40	43	5	7	
2021-05-07	3	7	19	27	29	7	10	
2021-05-14	1	15	29	42	50	3	6	
2021-05-21	2	12	15	33	39	4	9	
2021-05-28	15	26	35	37	43	3	8	
2021-06-04	13	17	26	49	50	1	7	
2021-06-11	8	20	23	48	50	8	9	
2021-06-18	11	14	44	46	49	7	10	
2021-06-25	4	17	22	30	47	1	8	
2021-07-02	4	5	10	25	31	4	6	
2021-07-09	8	14	15	20	31	8	9	
2021-07-16	9	14	24	37	39	4	9	
2021-07-23	13	33	42	48	50	3	9	
2021-07-30	5	14	39	43	44	1	6	
2021-08-06	16	19	21	29	36	1	7	
2021-08-13	4	31	39	43	46	1	4	
2021-08-20	8	31	34	36	45	8	10	
2021-08-27	19	20	22	25	42	4	6	
2021-09-03	5	9	20	44	48	4	10	
2021-09-10	2	14	18	23	42	5	10	
2021-09-17	14	17	20	27	32	3	7	
2021-09-24	12	22	35	38	49	5	10	
2021-10-01	20	33	34	37	39	4	8	
2021-10-08	20	28	32	38	46	6	8	
2021-10-15	2	6	8	21	25	6	9	
2021-10-22	15	33	34	38	43	3	7	
2021-10-29	11	23	37	38	44	4	8	
2021-11-05	6	13	25	31	49	2	7	
2021-11-12	4	30	43	44	46	1	3	
2021-11-19	6	12	20	21	34	4	5	
2021-11-26	7	17	21	37	39	3	5	
2021-12-03	2	5	13	15	23	6	8	
2021-12-10	8	9	30	34	48	5	8	
2021-12-17	6	8	16	44	50	1	10	
2021-12-24	3	17	21	35	42	8	9	
2021-12-31	7	16	36	42	43	6	8
