date	1	2	3	4	5	E1	E2
2019-01-04	3	10	25	32	43	1	3	
2019-01-11	6	12	35	39	49	4	9	
2019-01-18	2	9	23	36	47	2	9	
2019-01-25	24	25	28	35	48	4	8	
2019-02-01	6	29	38	45	47	2	3	
2019-02-08	5	8	21	24	26	4	5	
2019-02-15	1	24	30	31	47	7	9	
2019-02-22	14	16	21	25	26	8	10	
2019-03-01	7	16	18	19	24	1	6	
2019-03-08	4	29	30	31	45	1	7	
2019-03-15	1	2	11	19	47	2	7	
2019-03-22	15	20	24	44	49	7	9	
2019-03-29	4	9	15	24	42	8	9	
2019-04-05	22	31	43	44	50	1	9	
2019-04-12	14	16	21	30	37	4	8	
2019-04-19	18	21	37	43	47	1	3	
2019-04-26	1	6	11	17	38	4	8	
2019-05-03	3	9	10	19	42	1	7	
2019-05-10	5	7	15	19	29	3	8	
2019-05-17	20	27	33	35	46	5	9	
2019-05-24	8	26	38	47	50	3	7	
2019-05-31	10	12	35	36	43	2	5	
2019-06-07	7	8	20	35	38	5	9	
2019-06-14	8	23	40	41	42	2	10	
2019-06-21	20	27	37	41	45	1	7	
2019-06-28	18	25	26	35	38	5	6	
2019-07-05	1	15	34	48	50	6	10	
2019-07-12	31	36	40	42	45	7	9	
2019-07-19	31	32	45	47	49	7	9	
2019-07-26	3	8	30	46	48	1	3	
2019-08-02	6	11	38	41	44	9	10	
2019-08-09	2	4	20	21	49	9	10	
2019-08-16	7	20	35	42	44	3	7	
2019-08-23	15	18	19	41	42	4	6	
2019-08-30	10	18	32	35	46	3	10	
2019-09-06	21	24	29	30	50	1	5	
2019-09-13	3	21	22	33	47	2	9	
2019-09-20	17	21	41	48	49	4	8	
2019-09-27	21	24	26	34	47	4	6	
2019-10-04	15	19	20	45	49	7	8	
2019-10-11	8	12	13	39	44	4	9	
2019-10-18	6	9	31	43	44	6	9	
2019-10-25	2	30	34	35	45	1	2	
2019-11-01	3	17	31	34	40	1	2	
2019-11-08	14	20	23	39	49	4	10	
2019-11-15	10	19	24	30	39	2	4	
2019-11-22	3	12	24	37	38	3	7	
2019-11-29	2	3	30	31	45	6	8	
2019-12-06	8	14	23	30	45	1	9	
2019-12-13	25	31	38	49	50	5	10	
2019-12-20	12	20	21	22	35	4	10	
2019-12-27	7	12	28	34	45	3	6
