date	1	2	3	4	5	E1	E2
2015-01-02	16	29	38	42	48	5	6	
2015-01-09	13	19	20	27	41	5	9	
2015-01-16	1	4	14	32	48	5	6	
2015-01-23	2	13	14	30	32	1	3	
2015-01-30	3	4	8	11	41	2	8	
2015-02-06	3	19	22	37	39	5	10	
2015-02-13	3	7	14	46	48	6	9	
2015-02-20	1	16	18	29	44	2	7	
2015-02-27	9	28	30	43	49	8	10	
2015-03-06	9	16	17	20	32	2	3	
2015-03-13	1	10	25	39	44	1	2	
2015-03-20	9	11	13	35	38	5	7	
2015-03-27	3	26	31	33	50	3	9	
2015-04-03	5	34	37	43	48	2	4	
2015-04-10	1	18	26	40	47	3	4	
2015-04-17	5	6	13	20	33	3	8	
2015-04-24	4	17	27	33	46	3	9	
2015-05-01	8	24	25	30	50	4	6	
2015-05-08	19	31	32	40	46	8	9	
2015-05-15	12	14	18	38	46	9	10	
2015-05-22	8	23	24	39	50	1	5	
2015-05-29	1	6	16	28	38	1	6	
2015-06-05	19	38	40	41	50	1	5	
2015-06-12	17	23	27	30	39	6	8	
2015-06-19	12	14	20	21	39	5	10	
2015-06-26	14	27	28	35	47	1	8	
2015-07-03	1	31	40	41	45	5	9	
2015-07-10	12	35	36	39	47	3	6	
2015-07-17	6	21	30	37	44	1	3	
2015-07-24	6	12	15	20	30	3	6	
2015-07-31	11	19	24	46	49	1	5	
2015-08-07	1	9	15	22	49	4	7	
2015-08-14	1	7	27	28	41	2	6	
2015-08-21	13	20	39	40	42	3	9	
2015-08-28	5	8	33	34	46	3	8	
2015-09-04	12	23	37	41	46	3	7	
2015-09-11	7	22	27	30	31	5	7	
2015-09-18	3	7	13	41	48	1	7	
2015-09-25	3	5	13	16	30	3	6	
2015-10-02	7	9	28	39	47	2	8	
2015-10-09	13	14	23	26	31	3	9	
2015-10-16	11	19	38	42	46	3	9	
2015-10-23	16	18	34	36	49	6	8	
2015-10-30	5	15	16	36	37	3	5	
2015-11-06	2	4	8	22	24	3	9	
2015-11-13	19	23	26	27	49	3	10	
2015-11-20	1	18	20	31	36	5	9	
2015-11-27	2	7	13	26	49	3	4	
2015-12-04	14	16	26	34	38	2	8	
2015-12-11	34	36	37	39	49	8	10	
2015-12-18	11	19	27	32	42	5	9	
2015-12-25	8	9	33	34	36	3	9
