date	1	2	3	4	5	E1	E2
2022-01-07	8	17	21	23	47	2	6	
2022-01-14	9	15	27	41	44	2	4	
2022-01-21	2	5	9	29	32	2	4	
2022-01-28	5	21	23	29	35	7	9	
2022-02-04	12	18	27	33	41	9	10	
2022-02-11	5	10	26	37	42	3	10	
2022-02-18	5	10	25	29	32	4	7	
2022-02-25	4	19	34	41	43	1	5	
2022-03-04	1	17	20	36	49	6	9	
2022-03-11	5	31	39	46	49	8	9	
2022-03-18	1	8	33	38	43	2	6	
2022-03-25	11	20	31	35	46	6	10	
2022-03-29	10	15	18	24	39	2	11	
2022-04-01	7	8	35	37	49	5	8	
2022-04-05	9	10	28	38	48	8	12	
2022-04-08	2	26	41	45	48	5	12	
2022-04-12	19	20	24	36	41	4	5	
2022-04-15	2	5	10	20	24	4	7	
2022-04-19	3	7	15	17	35	3	4	
2022-04-22	2	18	28	42	50	2	11	
2022-04-26	10	27	32	41	49	1	9	
2022-04-29	5	6	17	18	34	1	11	
2022-05-03	6	13	22	24	30	5	10	
2022-05-06	5	6	39	49	50	10	12	
2022-05-10	3	7	34	43	50	5	10	
2022-05-13	7	13	30	43	47	7	11	
2022-05-17	2	13	41	45	50	2	3	
2022-05-20	4	22	28	32	47	1	2	
2022-05-24	25	26	40	45	47	4	5	
2022-05-27	8	26	29	41	48	3	5	
2022-05-31	14	30	37	39	50	4	12	
2022-06-03	4	22	27	39	41	1	9	
2022-06-07	5	7	45	48	49	3	8	
2022-06-10	3	21	23	28	46	10	12	
2022-06-14	11	28	30	35	50	7	8	
2022-06-17	1	2	23	43	45	1	9	
2022-06-21	6	10	17	29	49	2	5	
2022-06-24	13	24	30	35	48	4	5	
2022-06-28	2	10	23	29	50	3	10	
2022-07-01	4	10	24	34	35	7	8	
2022-07-05	7	16	28	36	43	2	11	
2022-07-08	6	10	22	30	36	8	10	
2022-07-12	3	16	26	30	47	1	2	
2022-07-15	9	11	16	19	32	3	5	
2022-07-19	20	23	24	37	43	9	10	
2022-07-22	1	11	17	19	33	3	7	
2022-07-26	1	2	7	24	25	2	5	
2022-07-29	14	26	29	46	50	10	11	
2022-08-02	6	11	39	40	47	7	8	
2022-08-05	10	12	17	31	49	2	8	
2022-08-09	23	26	36	40	44	5	10	
2022-08-12	14	32	34	38	46	2	5	
2022-08-16	4	17	32	34	49	4	9	
2022-08-19	4	13	32	39	41	6	8	
2022-08-23	2	9	18	21	39	4	10	
2022-08-26	2	6	18	29	37	10	12	
2022-08-30	18	27	41	45	49	7	9	
2022-09-02	2	5	11	22	24	7	12	
2022-09-06	6	10	11	20	38	3	9	
2022-09-09	9	18	26	41	43	4	9	
2022-09-13	20	22	26	34	40	8	12	
2022-09-16	16	25	27	41	45	3	9	
2022-09-20	2	13	22	36	40	3	5	
2022-09-23	20	30	38	39	44	2	12	
2022-09-27	15	23	26	31	44	1	8	
2022-09-30	8	12	15	17	46	1	8	
2022-10-04	17	42	43	48	49	3	7	
2022-10-07	16	17	26	30	35	3	9	
2022-10-11	7	35	36	39	47	3	8	
2022-10-14	3	5	8	10	44	7	12	
2022-10-18	13	18	24	34	50	5	6	
2022-10-21	2	11	18	47	49	2	7	
2022-10-25	17	26	35	37	39	3	4	
2022-10-28	4	5	21	30	43	5	11	
2022-11-01	18	32	39	42	44	4	7	
2022-11-04	7	9	40	48	49	7	8	
2022-11-08	15	17	23	35	38	4	9	
2022-11-11	11	15	24	28	41	3	12	
2022-11-15	1	7	11	33	48	9	12	
2022-11-18	13	14	25	28	42	11	12	
2022-11-22	11	20	23	37	46	9	11	
2022-11-25	4	6	8	42	48	6	11	
2022-11-29	9	16	32	37	46	7	12	
2022-12-02	6	12	25	48	49	11	12	
2022-12-06	8	12	37	44	47	7	10	
2022-12-09	6	8	13	21	32	3	6	
2022-12-13	3	13	33	36	47	3	11	
2022-12-16	9	14	15	20	47	8	12	
2022-12-20	6	11	26	43	49	5	8	
2022-12-23	9	34	35	42	44	6	11	
2022-12-27	28	33	34	37	44	4	11	
2022-12-30	3	37	45	47	50	5	10
