date	1	2	3	4	5	E1	E2
2014-01-03	1	16	34	36	37	4	6	
2014-01-10	8	18	22	33	40	2	8	
2014-01-17	4	7	17	25	29	2	4	
2014-01-24	4	28	30	36	46	3	7	
2014-01-31	12	17	29	39	40	5	6	
2014-02-07	16	18	20	36	49	3	4	
2014-02-14	19	21	22	28	45	6	7	
2014-02-21	2	4	21	30	41	7	8	
2014-02-28	2	17	21	22	45	1	5	
2014-03-07	7	14	15	20	39	1	8	
2014-03-14	6	7	9	13	30	4	7	
2014-03-21	8	18	35	38	42	4	6	
2014-03-28	10	32	35	38	45	4	5	
2014-04-04	10	16	28	30	33	4	6	
2014-04-11	1	7	14	22	44	1	2	
2014-04-18	12	32	40	44	49	2	3	
2014-04-25	4	7	10	39	48	3	4	
2014-05-02	9	31	32	33	34	6	8	
2014-05-09	1	11	14	22	43	3	4	
2014-05-16	9	28	36	42	43	2	8	
2014-05-23	6	21	33	37	47	7	8	
2014-05-30	7	17	25	26	35	4	7	
2014-06-06	6	9	19	37	38	4	8	
2014-06-13	1	8	15	18	39	1	6	
2014-06-20	6	10	23	33	41	6	8	
2014-06-27	11	33	35	42	44	4	6	
2014-07-04	3	10	11	13	42	1	8	
2014-07-11	3	10	16	35	45	4	6	
2014-07-18	6	11	15	18	45	5	8	
2014-07-25	3	10	36	43	47	2	5	
2014-08-01	5	18	33	38	47	3	6	
2014-08-08	15	19	21	34	40	3	4	
2014-08-15	17	38	41	43	47	4	6	
2014-08-22	19	20	40	42	47	2	8	
2014-08-29	1	8	9	12	37	2	6	
2014-09-05	26	31	33	39	40	5	6	
2014-09-12	2	9	17	25	29	3	5	
2014-09-19	13	18	20	38	39	1	8	
2014-09-26	8	26	32	44	50	4	7	
2014-10-03	8	15	34	44	49	4	8	
2014-10-10	11	17	20	22	29	4	6	
2014-10-17	14	24	27	35	39	7	8	
2014-10-24	3	15	22	26	37	2	4	
2014-10-31	3	7	27	43	46	3	8	
2014-11-07	5	13	25	33	35	4	8	
2014-11-14	22	25	41	45	49	2	5	
2014-11-21	4	18	35	41	43	4	5	
2014-11-28	6	16	18	29	35	6	9	
2014-12-05	11	25	32	42	47	4	9	
2014-12-12	1	8	15	19	37	7	9	
2014-12-19	10	11	25	32	49	5	9	
2014-12-26	2	21	30	39	43	5	7
