date	1	2	3	4	5	E1	E2
2017-01-06	7	14	23	27	35	3	5	
2017-01-13	2	21	26	44	45	1	6	
2017-01-20	5	23	25	35	40	5	8	
2017-01-27	12	15	19	29	48	7	9	
2017-02-03	4	5	17	39	47	3	4	
2017-02-10	13	23	31	42	44	2	5	
2017-02-17	7	18	19	40	49	5	6	
2017-02-24	1	7	13	19	20	6	8	
2017-03-03	3	7	16	18	25	2	10	
2017-03-10	13	18	20	35	46	7	8	
2017-03-17	3	16	25	38	45	7	8	
2017-03-24	25	26	30	36	44	3	9	
2017-03-31	8	14	34	40	44	1	7	
2017-04-07	10	27	43	45	46	4	8	
2017-04-14	6	22	33	46	49	1	5	
2017-04-21	27	31	44	46	49	6	8	
2017-04-28	3	38	39	41	45	3	5	
2017-05-05	8	11	23	41	42	6	8	
2017-05-12	7	14	31	35	46	1	2	
2017-05-19	22	33	41	46	50	2	6	
2017-05-26	3	11	13	15	23	1	9	
2017-06-02	2	4	17	20	46	1	8	
2017-06-09	13	17	20	24	47	5	8	
2017-06-16	1	24	25	31	38	1	7	
2017-06-23	6	14	19	27	35	2	4	
2017-06-30	1	3	11	18	31	3	6	
2017-07-07	15	16	17	23	30	6	9	
2017-07-14	3	9	25	31	49	8	9	
2017-07-21	27	35	36	38	48	2	3	
2017-07-28	14	18	26	40	45	1	5	
2017-08-04	18	39	44	46	47	4	6	
2017-08-11	13	14	21	23	40	1	3	
2017-08-18	1	4	20	32	34	3	6	
2017-08-25	11	20	28	41	45	5	9	
2017-09-01	3	4	9	19	28	1	7	
2017-09-08	11	38	40	42	48	4	5	
2017-09-15	15	22	29	33	47	3	7	
2017-09-22	10	17	32	36	47	2	5	
2017-09-29	2	12	15	29	44	7	10	
2017-10-06	5	17	28	40	44	1	8	
2017-10-13	9	40	43	44	46	1	8	
2017-10-20	1	10	25	46	49	1	6	
2017-10-27	2	20	23	29	50	4	5	
2017-11-03	2	35	44	45	50	6	7	
2017-11-10	1	14	17	24	50	8	9	
2017-11-17	3	4	17	41	47	2	5	
2017-11-24	11	16	18	22	43	7	8	
2017-12-01	5	16	20	29	30	2	7	
2017-12-08	9	15	20	24	34	1	5	
2017-12-15	1	7	12	16	18	1	4	
2017-12-22	16	26	32	40	47	1	6	
2017-12-29	16	30	33	40	43	2	4
