date	1	2	3	4	5	E1	E2
2020-01-03	6	27	30	35	41	4	5	
2020-01-10	4	14	25	34	49	4	9	
2020-01-17	1	23	32	45	49	5	10	
2020-01-24	5	12	20	29	48	7	9	
2020-01-31	1	7	12	23	39	3	4	
2020-02-07	7	16	22	36	44	3	4	
2020-02-14	2	6	30	32	49	1	4	
2020-02-21	2	13	39	45	47	4	6	
2020-02-28	12	22	24	29	38	5	6	
2020-03-06	15	19	35	36	41	5	10	
2020-03-13	1	17	29	39	42	7	8	
2020-03-20	9	14	28	30	37	3	10	
2020-03-27	13	19	23	34	41	3	8	
2020-04-03	3	21	26	40	41	8	10	
2020-04-10	2	7	8	43	50	2	3	
2020-04-17	1	18	23	33	41	2	6	
2020-04-24	6	13	15	34	35	1	5	
2020-05-01	6	11	12	21	41	1	2	
2020-05-08	9	11	15	36	43	8	9	
2020-05-15	21	27	29	34	49	8	10	
2020-05-22	12	15	32	40	45	7	10	
2020-05-29	8	22	31	32	36	6	10	
2020-06-05	9	16	17	29	39	1	8	
2020-06-12	7	16	22	30	48	2	8	
2020-06-19	2	22	33	38	47	2	9	
2020-06-26	14	16	32	34	47	7	9	
2020-07-03	12	34	36	47	48	5	7	
2020-07-10	5	6	9	15	29	4	9	
2020-07-17	13	21	25	34	35	5	10	
2020-07-24	7	11	19	32	43	2	8	
2020-07-31	3	19	28	43	49	2	3	
2020-08-07	4	9	15	24	28	2	6	
2020-08-14	9	20	27	35	48	5	9	
2020-08-21	26	27	30	46	49	1	2	
2020-08-28	8	11	22	38	41	4	7	
2020-09-04	5	23	28	38	49	3	9	
2020-09-11	2	5	24	43	45	4	10	
2020-09-18	7	12	14	40	42	7	8	
2020-09-25	1	7	9	29	46	9	10	
2020-10-02	15	19	34	39	49	2	7	
2020-10-09	1	11	17	23	29	1	8	
2020-10-16	5	11	35	44	50	4	10	
2020-10-23	17	21	23	37	45	7	9	
2020-10-30	11	19	24	33	39	1	4	
2020-11-06	5	12	26	47	50	2	3	
2020-11-13	5	17	21	37	38	1	4	
2020-11-20	18	20	34	49	50	7	8	
2020-11-27	1	2	22	25	30	5	10	
2020-12-04	1	27	37	40	41	7	10	
2020-12-11	4	13	15	41	49	1	9	
2020-12-18	4	17	27	28	50	5	8	
2020-12-25	7	10	19	26	42	1	9
